DUO_LU_D3_528_L1_1,MV2010_01231_528_L1_1,MV2010_01223_528_L1_1,DUO_LU_D3_528_L1_2,MV2010_01231_528_L1_2,MV2010_01223_528_L1_2,DUO_LU_D3_528_L1_3,MV2010_01231_528_L1_3,MV2010_01223_528_L1_3,DUO_LU_D3_528_L1_4,MV2010_01231_528_L1_4,MV2010_01223_528_L1_4,DUO_LU_D3_528_L1_5,MV2010_01231_528_L1_5,MV2010_01223_528_L1_5,DUO_LU_D3_528_L5_1,MV2010_01231_528_L5_1,MV2010_01223_528_L5_1,DUO_LU_D3_528_L5_2,MV2010_01231_528_L5_2,MV2010_01223_528_L5_2,DUO_LU_D3_528_L5_3,MV2010_01231_528_L5_3,MV2010_01223_528_L5_3
DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0,DU0_LTV1.0,LTv3.0,LTv3.0
10250,9999,10034,10246,10173,10160,10248,10178,10164,10257,10164,10165,10251,10153,10114,,,10114,,,10130,,,10139
10245,9997,10037,10246,10174,10157,10248,10181,10170,10256,10164,10165,10257,10151,10114,,,10115,,,10134,,,10143
10248,9999,10041,10245,10173,10164,10251,10183,10170,10254,10165,10171,10253,10149,10114,,,10119,,,10136,,,10138
10248,9998,10037,10244,10177,10165,10249,10182,10171,10255,10163,10172,10253,10149,10112,,,10110,,,10132,,,10143
10251,9997,10034,10249,10175,10161,10245,10182,10173,10256,10167,10175,10252,10150,10114,,,10108,,,10132,,,10135
10252,9999,10034,10249,10174,10165,10246,10184,10172,10258,10167,10170,10255,10151,10111,,,10116,,,10134,,,10143
10244,9999,10040,10245,10181,10158,10247,10185,10174,10257,10166,10176,10250,10149,10117,,,10116,,,10131,,,10141
10250,10003,10038,10244,10174,10165,10245,10183,10173,10254,10163,10172,10251,10151,10112,,,10115,,,10126,,,10141
10249,10000,10036,10247,10177,10163,10244,10186,10172,10255,10168,10172,10251,10153,10115,,,10113,,,10131,,,10137
10250,9998,10038,10246,10180,10167,10246,10183,10169,10254,10164,10172,10253,10150,10111,,,10117,,,10133,,,10140
10246,9997,10034,10248,10182,10164,10245,10186,10166,10255,10166,10174,10253,10151,10109,,,10114,,,10131,,,10137
10248,9996,10035,10245,10180,10168,10247,10186,10172,10257,10166,10172,10250,10152,10113,,,10111,,,10132,,,10142
10251,9997,10036,10246,10181,10163,10247,10188,10173,10257,10168,10174,10254,10152,10114,,,10115,,,10130,,,10138
10255,10001,10034,10244,10182,10165,10248,10188,10176,10261,10163,10170,10255,10150,10109,,,10121,,,10129,,,10141
10253,9998,10036,10245,10181,10161,10246,10187,10172,10252,10159,10166,10258,10147,10114,,,10114,,,10130,,,10140
10251,10000,10036,10246,10181,10158,10246,10192,10176,10255,10169,10170,10250,10152,10115,,,10114,,,10131,,,10145
